Month,NTV,ING,STR,SNP,TIK,BAN,TWT,RAD,AFF,CEM,SEM
Oct,946806.5,199930.32,363350.7221,90049.04234,33332.94,39416.56113,102779.7466,0,12032,1351.324,110936.43
Nov,41165.5,75338.06,0,14551.2947,11193.12,19200.60182,31529.96047,0,0,599.222,49980.39
Dec,0,85501.54,0,10512.96011,7784.68,11728.38572,0,0,0,67.4,63301.82
Jan,0,304209.76,360526.559,59481.19394,19519.31,39690.92264,21665.4,0,12323,1276.284,47893.36
Feb,957168.6429,62092.33,0,2407.136064,12468.04,15770.86094,0,0,0,810.22,47013.99
Mar,885603.3571,303723.38,432832.9965,48140.47388,56419.49,42717.33942,59531.26856,0,9628,664.194,69509.3
Apr,0,138926.85,0.01477,2252.028797,5430.91,30675.6331,0,0,1296,816.088,52844.19
May,739623.5,342801.6,234384.7297,61661.28037,8179.94,42306.71704,42107.55632,0,11719,815.43,85675.93
Jun,105660.5,201203.78,0,7868.060064,50472.23,46977.48429,0,0,0,2453.294,142088.42
Jul,0,154255.98,0,8994.897939,26309.5,25201.2942,0,0,348,107.634,96496.87
Aug,0,122507.34,0,5021.445331,63961.2,15073.36264,0,0,1220,1744.394,78464.44
Sep,1486646.83,416548.03,613834.0624,108914.5271,79052.78,44146.65844,89042.04801,240957,22320,2117.738,133879.6
