Month,National TV,Addressable TV,Streaming,YouTube,Cinema,Display,Paid Search,FaceBook Twitter,Digital Radio
Oct,9347877.00,558534.00,1998539.00,503995.00,0.00,1651264.00,1526024.00,1003206.00,230985.00
Nov,8273861.00,781267.00,2589378.00,643609.00,181522.00,2183897.00,1818475.00,1370224.00,276354.00
Dec,2339.00,63715.00,1980760.00,510623.00,393698.00,1660565.00,2039564.00,807164.00,198592.00
Jan,7646487.00,903704.00,3257083.00,787594.00,0.00,2301596.00,1795046.00,1362545.00,397621.00
Feb,5344361.00,607154.00,3332583.00,719142.00,1334077.00,2567055.00,1965934.00,1458711.00,391363.00
Mar,3881492.00,1013712.00,3873030.00,854258.00,591252.00,2766618.00,2212733.00,1629403.00,420122.00
Apr,6831115.00,686115.00,3051866.00,641572.00,1695899.00,1974073.00,1803557.00,1378288.00,315857.00
May,5335408.00,643668.00,2764831.00,597123.00,0.00,1836694.00,1689248.00,1222647.00,291991.00
Jun,816186.00,1529389.00,3491954.00,964203.00,524677.00,2437143.00,2634723.00,2196201.00,387998.00
Jul,0.00,1347329.00,3590165.00,832221.00,911504.00,2291609.00,1726182.00,1773153.00,324233.00
Aug,150899.00,1219439.00,4785769.00,833336.00,313882.00,2202688.00,1821154.00,1686214.00,283883.00
Sep,5786153.00,163841.00,4526178.00,1120524.00,47988.00,2497862.00,2036928.00,2162819.00,359250.00
