Media,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,,,,
Linear TV,"946,807","41,166", -   , -   ,"957,169","885,603", -   ,"739,624","105,661", -   , -   ,"1,486,647",,"1,907,156",28%,
VOL,"363,351", -   , -   ,"360,527", -   ,"432,833",0,"234,385", -   ,"2,000,000","2,000,000","613,834",,"859,255",40%,
Display,"39,417","19,201","11,728","39,691","15,771","42,717","30,676","42,307","46,977","25,201","15,073","44,147",,"93,227",111%,
Radio, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"240,957",,"602,393",150%,
Affiliation,"12,032", -   , -   ,"12,323", -   ,"9,628","1,296","11,719", -   ,348,"1,220","22,320",,"26,582",19%,
Email, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   ,,
Search,"110,936","49,980","63,302","47,893","47,014","69,509","52,844","85,676","142,088","96,497","78,464","133,880",,"244,521",83%,
Paid Social Media,"426,092","132,612","103,799","404,876","76,968","467,815","146,610","454,750","259,544","189,560","191,490","693,557",,"886,918",28%,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UB,Revised UB,Optimized,,
,,,,,,,,,Linear TV, -   , -   ,"3,716,617","2,212,575","1,907,156",,16
,,,,,,,,,VOL,"5,000,000","5,000,000","1,534,585","859,255","859,255",,17
,,,,,,,,,Display,"63,003","37,683","110,367","93,226","93,227",,18
,,,,,,,,,Radio, -   , -   ,"602,393","602,393","602,393",,19
,,,,,,,,,Affiliation,870,"3,050","55,800","26,582","26,582",,20
,,,,,,,,,Email, -   , -   , -   , -   , -   ,,21
,,,,,,,,,Search,"241,242","196,161","334,699","244,521","244,521",,22
,,,,,,,,,Paid Social Media,"473,901","478,725","1,733,893","886,918","886,918",,23
,,,,,,,,,,,,,,,,
,,,,,,,,,,0,8,16,,,,
,,,,,,,,,,1,9,17,,,,
,,,,,,,,,,2,10,18,,,,
,,,,,,,,,,3,11,19,,,,
,,,,,,,,,,4,12,20,,,,
,,,,,,,,,,5,13,21,,,,
,,,,,,,,,,6,14,22,,,,
,,,,,,,,,,7,15,23,,,,
