Month,National TV,Local TV,Connected TV,TTV,Streaming,YouTube,Cinema,Display,Paid Search,Facebook,Snapchat,Twitter,Pinterest,TikTok,Digital Radio,Local Radio,Out of Home
Oct,136116.3692,0,30012.25694,21551.10345,19612.67068,27679.5969,75956.28948,52802.4784,128929.9725,34580.8588,12224.19815,7299.43906,5602.33413,0,23603.50959,0,0
Nov,182554.9308,260937.25,32530.99932,35724.17105,25420.37309,22884.62021,12645.95583,77712.20718,162822.6275,34760.3228,10437.25366,7283.92803,8420.23462,0,22426.8821,72573,0
Dec,8726.69186,102556.75,25681.44712,1260.63005,34576.34614,32980.06432,15370.89864,100325.5938,175836.6812,49105.1025,21405.49506,9447.62393,13336.28616,0,15056.75912,280.5,0
Jan,218839.8398,270265.15,36719.34798,36386.37076,45994.63638,40971.13173,43201.70388,127254.5131,199764.2742,48831.497,13660.48009,2562.54566,6846.49948,0,18579.42058,78888.5,0
Feb,131599.1636,305722.06,32766.14758,43799.78843,60436.05784,64806.2278,21600.85194,153819.1924,290544.0254,70016.7464,15777.39868,899.22496,8944.19699,6330.49829,16792.4361,50525.25,0
Mar,68994.7882,0,36474.97808,0,42071.57032,65058.45922,13272.61126,178542.8327,343910.5294,111652.664,22135.4708,786.04989,15942.61298,11479.52529,15430.04486,58826.8,0
Apr,296749.917,0,38043.82206,55119.66176,41809.99104,14807.94582,0,142360.1812,233152.4509,72418.9558,33785.0676,2701.60182,8914.30378,7356.20724,15285.50634,0,0
May,135131.1365,136196.35,37779.60946,21023.91967,53460.39225,26440.84028,105857.759,144532.6548,190921.9166,95962.21897,31178.3805,3035.2768,9919.08675,374.86568,15327.21999,59302.8,0
Jun,30608.02574,416538.25,36384.39138,2438.87099,64590.27383,26675.77276,19500.11349,176747.4555,263143.5635,121744.0216,26337.28502,2970.63698,12894.62754,4044.87308,19139.12893,77687.75,0
Jul,57961.60765,240309.46,28345.3689,31633.15516,47463.72231,13434.41513,35253.64461,96739.24218,146121.0582,64502.09624,12105.73996,5047.69877,6337.30939,0,9887.29243,73272.55,0
Aug,69997.18801,4951.25,29161.65349,20891.51794,66980.71068,13838.10691,8732.68854,93148.5464,156554.2507,65416.3361,14460.1334,5227.15261,6715.67082,7742.49707,8855.91422,51,0
Sep,182084.4322,138619.7,25869.99282,3032.88368,100587.0537,46324.42471,6613.53486,130585.5753,208825.477,122296.4682,20189.4918,6252.98522,8527.42806,3092.15126,10298.03524,46609.75,0
